"constituency","year_1","year_2","year_3","year_4","year_5","year_6"
100,"Bipolar","Multipolar","Bipolar","Multipolar","Bipolar","Bipolar"
101,"Divided-Unipolar","Multipolar","Divided-Unipolar","Multipolar","Divided-Unipolar","Bipolar"
102,"Bipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar","Unipolar"
103,"Unipolar","Bipolar","Multipolar","Multipolar","Multipolar","Bipolar"
104,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Divided-Unipolar"
105,"Unipolar","Multipolar","Multipolar","Multipolar","Unipolar","Multipolar"
106,"Bipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Unipolar"
107,"Divided-Unipolar","Multipolar","Multipolar","Bipolar","Bipolar","Unipolar"
108,"Bipolar","Divided-Unipolar","Divided-Unipolar","Bipolar","Unipolar","Unipolar"
109,"Unipolar","Divided-Unipolar","Unipolar","Multipolar","Bipolar","Multipolar"
110,"Unipolar","Bipolar","Multipolar","Multipolar","Unipolar","Unipolar"
111,"Unipolar","Bipolar","Multipolar","Bipolar","Divided-Unipolar","Divided-Unipolar"
112,"Bipolar","Divided-Unipolar","Bipolar","Multipolar","Multipolar","Bipolar"
113,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
114,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
115,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
116,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
117,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
118,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
119,"Divided-Unipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar","Bipolar"
120,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
121,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
122,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Bipolar"
123,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
124,"Unipolar","Multipolar","Multipolar","Multipolar","Bipolar","Multipolar"
125,"Unipolar","Multipolar","Multipolar","Multipolar","Bipolar","Multipolar"
126,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
